4.2,-53.0498,-38.4926,-28.6831,-52.6818,-3.88996,-35.2138,-23.8237
4.3,-52.1548,-35.1961,-22.8471,-51.792,13.0144,-31.0963,-16.1603
4.4,-51.1861,-31.1711,-15.0877,-50.8262,30,-25.923,-5.52177
4.5,-50.1298,-26.117,-4.23834,-49.7701,-63.7069,-19.1912,10.2693
4.6,-48.9691,-19.5491,11.9981,-48.6063,-62.4302,-10.0333,30
4.7,-47.6823,-10.6341,30,-47.3125,-61.1567,3.17655,-64.0878
4.8,-46.2424,2.17834,-48.6792,-45.8606,-59.8735,23.8386,-63.1887
4.9,-44.6137,22.1024,-47.2126,-44.2138,-58.5673,30,-62.296
5,-42.7497,30,-45.5663,-42.3232,-57.224,-64.365,-61.4034
5.1,-40.5874,-64.4481,-43.6957,-40.1232,-55.828,-63.736,-60.5044
5.2,-38.0398,-63.904,-41.5413,-37.5224,-54.3614,-63.1097,-59.5927
5.3,-34.9836,-63.3655,-39.0211,-34.3909,-52.8033,-62.4834,-58.6614
5.4,-31.2382,-62.8301,-36.0196,-30.537,-51.1281,-61.854,-57.7032
5.5,-26.5282,-62.2957,-32.3686,-25.6671,-49.3039,-61.2187,-56.7098
5.6,-20.4136,-61.7601,-27.8138,-19.3081,-47.2904,-60.5742,-55.672
5.7,-12.1484,-61.2212,-21.9531,-10.6501,-45.0341,-59.9175,-54.5792
5.8,-0.367954,-60.6767,-14.1121,1.80777,-42.4637,-59.245,-53.4189
5.9,17.6905,-60.1243,-3.07662,21.1574,-39.4802,-58.5531,-52.1758
6,30,-59.5616,13.5607,30,-35.9423,-57.8376,-50.8315
6.1,-65.273,-58.9859,30,-54.7037,-31.6412,-57.0938,-49.3629
6.2,-65.5382,-58.3944,-48.9071,-54.388,-26.2541,-56.3165,-47.741
6.3,-65.7952,-57.7839,-47.6947,-54.0509,-19.2558,-55.4996,-45.928
6.4,-66.0436,-57.1511,-46.3377,-53.69,-9.73494,-54.636,-43.8742
6.5,-66.2832,-56.4918,-44.8036,-53.3028,4.02926,-53.7173,-41.5125
6.6,-66.5137,-55.8018,-43.0499,-52.8861,25.6745,-52.7335,-38.7503
6.7,-66.735,-55.0756,-41.0196,-52.4363,30,-51.6724,-35.4553
6.8,-66.947,-54.3074,-38.6343,-51.9493,-63.757,-50.5191,-31.433
6.9,-67.1497,-53.49,-35.7845,-51.4201,-62.53,-49.2549,-26.3845
7,-67.3429,-52.6149,-32.3107,-50.8429,-61.3069,-47.8566,-19.828
7.1,-67.5269,-51.6719,-27.9736,-50.2106,-60.0757,-46.2942,-10.9363
7.2,-67.7016,-50.6485,-22.3968,-49.5148,-58.8243,-44.5285,1.82812
7.3,-67.8671,-49.5294,-14.9548,-48.7452,-57.5397,-42.5075,21.6469
